ts,latitude,longitude
1728049003000000000,52.3532026,4.8822213
1728049004000000000,52.3532354,4.8821933
1728049005000000000,52.3532689,4.8821645
1728049006000000000,52.3533005,4.8821415
1728049007000000000,52.3533345,4.8821196
1728049008000000000,52.3533642,4.882092
1728049009000000000,52.3533955,4.882066
1728049010000000000,52.3534265,4.8820407
1728049011000000000,52.3534592,4.882015
1728049012000000000,52.353494,4.88199
1728049013000000000,52.3535286,4.8819638
1728049014000000000,52.3535606,4.8819372
1728049015000000000,52.3535913,4.8819112
1728049016000000000,52.3536193,4.8818885
1728049017000000000,52.3536435,4.8818735
1728049018000000000,52.3536683,4.881868
1728049019000000000,52.3536893,4.8818787
1728049020000000000,52.3537091,4.8819073
1728049021000000000,52.3537236,4.8819516
1728049022000000000,52.3537355,4.8820025
1728049023000000000,52.3537472,4.8820577
1728049024000000000,52.3537592,4.8821162
1728049025000000000,52.3537707,4.8821744
1728049026000000000,52.353783,4.8822306
1728049027000000000,52.3537965,4.882284
1728049028000000000,52.3538095,4.8823384
1728049029000000000,52.3538249,4.8823959
1728049030000000000,52.3538377,4.8824554
1728049031000000000,52.353853,4.8825145
1728049032000000000,52.3538672,4.8825755
1728049033000000000,52.3538802,4.8826361
1728049034000000000,52.3538908,4.8826963
1728049035000000000,52.3539019,4.8827565
1728049036000000000,52.3539138,4.8828154
1728049037000000000,52.3539257,4.8828735
1728049038000000000,52.3539368,4.882933
1728049039000000000,52.3539507,4.8829918
1728049040000000000,52.3539629,4.8830455
1728049041000000000,52.3539755,4.8830961
1728049042000000000,52.3539868,4.8831476
1728049043000000000,52.3539956,4.8832032
1728049044000000000,52.3540047,4.8832612
1728049045000000000,52.354015,4.8833182
1728049046000000000,52.3540299,4.8833781
1728049047000000000,52.3540392,4.8834348
1728049048000000000,52.3540514,4.8834902
1728049049000000000,52.3540643,4.8835462
1728049050000000000,52.3540773,4.8836028
1728049051000000000,52.3540927,4.8836588
1728049052000000000,52.3541086,4.8837127
1728049053000000000,52.3541227,4.8837656
1728049054000000000,52.3541359,4.8838169
1728049055000000000,52.354147,4.8838646
1728049056000000000,52.3541593,4.8839081
1728049057000000000,52.3541693,4.883953
1728049058000000000,52.3541805,4.884002
1728049059000000000,52.3541918,4.8840499
1728049060000000000,52.3541986,4.8841003
1728049061000000000,52.3542001,4.8841516
1728049062000000000,52.3541941,4.8841951
1728049063000000000,52.3541752,4.8842239
1728049064000000000,52.3541476,4.8842485
1728049065000000000,52.3541234,4.8842702
1728049066000000000,52.354092,4.8842894
1728049067000000000,52.3540562,4.8843045
1728049068000000000,52.3540191,4.8843241
1728049069000000000,52.353981,4.884343
1728049070000000000,52.3539392,4.8843607
1728049071000000000,52.3538968,4.8843773
1728049072000000000,52.3538575,4.8843973
1728049073000000000,52.3538159,4.8844164
