ts,latitude,longitude
1728055639000000000,52.3527036,4.8734735
1728055640000000000,52.3527208,4.8735363
1728055641000000000,52.3527391,4.8735998
1728055642000000000,52.3527567,4.8736648
1728055643000000000,52.3527741,4.8737304
1728055644000000000,52.3527907,4.8737956
1728055645000000000,52.352808,4.8738583
1728055646000000000,52.3528265,4.8739184
1728055647000000000,52.3528432,4.873978
1728055648000000000,52.3528592,4.8740365
1728055649000000000,52.3528747,4.8740943
1728055650000000000,52.3528895,4.8741515
1728055651000000000,52.3529022,4.8742079
1728055652000000000,52.3529161,4.8742646
1728055653000000000,52.3529265,4.8743228
1728055654000000000,52.3529402,4.8743791
1728055655000000000,52.3529516,4.874432
1728055656000000000,52.3529625,4.8744811
1728055657000000000,52.3529729,4.8745275
1728055658000000000,52.3529847,4.8745708
1728055659000000000,52.3529977,4.8746115
1728055660000000000,52.3530095,4.8746484
1728055661000000000,52.3530209,4.8746863
1728055662000000000,52.3530296,4.8747239
1728055663000000000,52.3530371,4.8747525
1728055664000000000,52.3530421,4.8747673
1728055665000000000,52.3530438,4.8747707
1728055666000000000,52.3530445,4.8747706
1728055667000000000,52.3530448,4.8747703
1728055668000000000,52.3530456,4.8747698
1728055669000000000,52.3530464,4.8747698
1728055670000000000,52.3530463,4.8747702
1728055671000000000,52.3530465,4.8747704
1728055672000000000,52.3530475,4.8747716
1728055673000000000,52.3530478,4.8747719
1728055674000000000,52.3530484,4.8747722
1728055675000000000,52.3530493,4.8747734
1728055676000000000,52.3530496,4.8747744
1728055677000000000,52.3530498,4.8747752
1728055678000000000,52.3530538,4.8747842
1728055679000000000,52.3530637,4.8747957
1728055680000000000,52.3530692,4.8748162
1728055681000000000,52.3530773,4.8748463
1728055682000000000,52.3530852,4.8748855
1728055683000000000,52.3531005,4.8749317
1728055684000000000,52.3531182,4.8749803
1728055685000000000,52.3531352,4.8750328
1728055686000000000,52.3531478,4.875088
1728055687000000000,52.3531615,4.8751451
1728055688000000000,52.35318,4.8751972
1728055689000000000,52.3532051,4.8752354
1728055690000000000,52.3532364,4.8752547
1728055691000000000,52.3532696,4.8752553
1728055692000000000,52.353302,4.8752424
1728055693000000000,52.3533312,4.8752217
1728055694000000000,52.353362,4.8751931
1728055695000000000,52.3533936,4.8751631
1728055696000000000,52.3534334,4.8751448
1728055697000000000,52.3534745,4.8751254
1728055698000000000,52.3535123,4.8750995
1728055699000000000,52.3535492,4.8750715
1728055700000000000,52.3535857,4.8750451
1728055701000000000,52.3536238,4.8750185
1728055702000000000,52.3536624,4.8749904
1728055703000000000,52.3536999,4.8749618
1728055704000000000,52.3537382,4.8749346
1728055705000000000,52.353778,4.8749106
1728055706000000000,52.3538189,4.8748907
1728055707000000000,52.3538588,4.8748674
1728055708000000000,52.3538967,4.8748402
1728055709000000000,52.3539326,4.8748066
1728055710000000000,52.3539693,4.8747738
1728055711000000000,52.3540067,4.8747448
1728055712000000000,52.3540458,4.8747199
1728055713000000000,52.3540844,4.8746965
1728055714000000000,52.3541211,4.8746751
1728055715000000000,52.3541563,4.8746536
1728055716000000000,52.3541879,4.874633
1728055717000000000,52.3542153,4.874616
1728055718000000000,52.354235,4.8746012
1728055719000000000,52.3542441,4.8745727
1728055720000000000,52.3542442,4.874534
1728055721000000000,52.35423,4.8744992
1728055722000000000,52.3542192,4.8744674
1728055723000000000,52.3542083,4.8744273
1728055724000000000,52.3541988,4.8743861
1728055725000000000,52.3541927,4.8743475
1728055726000000000,52.3541881,4.8743095
1728055727000000000,52.3541792,4.8742704
1728055728000000000,52.3541853,4.8742399
1728055729000000000,52.3541801,4.8741976
1728055730000000000,52.3541702,4.874149
1728055731000000000,52.354157,4.8741024
1728055732000000000,52.3541441,4.8740547
1728055733000000000,52.3541311,4.8740107
1728055734000000000,52.3541144,4.8739739
1728055735000000000,52.3541047,4.8739375
1728055736000000000,52.3541041,4.8739159
1728055737000000000,52.3541029,4.8739086
1728055738000000000,52.3541062,4.8739019
1728055739000000000,52.3541085,4.8738962
1728055740000000000,52.3541004,4.8738845
1728055741000000000,52.3541016,4.873872
1728055742000000000,52.3541005,4.873861
1728055743000000000,52.3540966,4.8738526
1728055744000000000,52.3540945,4.8738446
1728055745000000000,52.3540917,4.8738372
1728055746000000000,52.3540913,4.8738311
1728055747000000000,52.3540894,4.8738258
1728055748000000000,52.354088,4.8738224
1728055749000000000,52.3540892,4.8738206
1728055750000000000,52.3540887,4.8738189
1728055751000000000,52.3540881,4.8738165
1728055752000000000,52.3540872,4.8738145
1728055753000000000,52.3540861,4.8738131
1728055754000000000,52.3540825,4.8738125
1728055755000000000,52.3540832,4.8738113
1728055756000000000,52.3540801,4.8738056
1728055757000000000,52.3540783,4.8738015
1728055758000000000,52.3540741,4.8737937
1728055759000000000,52.3540689,4.8737772
1728055760000000000,52.3540584,4.8737593
1728055761000000000,52.3540562,4.8737409
1728055762000000000,52.3540454,4.8737096
1728055763000000000,52.3540386,4.8736724
1728055764000000000,52.3540219,4.8736181
1728055765000000000,52.3540064,4.873561
1728055766000000000,52.3539886,4.8735055
1728055767000000000,52.353975,4.8734582
1728055768000000000,52.3539596,4.8734085
1728055769000000000,52.353948,4.8733533
1728055770000000000,52.3539453,4.8733029
1728055771000000000,52.3539278,4.8732411
1728055772000000000,52.3539212,4.873199
1728055773000000000,52.3539172,4.8731594
1728055774000000000,52.3539095,4.8731022
1728055775000000000,52.3539027,4.87305
1728055776000000000,52.3538884,4.8729921
1728055777000000000,52.3538816,4.8729453
1728055778000000000,52.3538715,4.8728978
1728055779000000000,52.3538673,4.872859
1728055780000000000,52.3538597,4.8728278
1728055781000000000,52.3538478,4.8727956
1728055782000000000,52.3538342,4.8727578
1728055783000000000,52.3538221,4.8727204
1728055784000000000,52.3538278,4.8726899
1728055785000000000,52.3538346,4.8726528
1728055786000000000,52.3538411,4.8726128
1728055787000000000,52.3538522,4.8725779
1728055788000000000,52.3538693,4.8725477
1728055789000000000,52.3538865,4.8725215
1728055790000000000,52.3539003,4.8724923
1728055791000000000,52.3538965,4.8724566
1728055792000000000,52.3538844,4.872417
1728055793000000000,52.3538682,4.8723737
1728055794000000000,52.353851,4.8723227
1728055795000000000,52.3538343,4.8722657
1728055796000000000,52.3538165,4.8722048
1728055797000000000,52.353798,4.8721434
1728055798000000000,52.3537794,4.8720804
1728055799000000000,52.35376,4.8720186
1728055800000000000,52.353744,4.8719586
1728055801000000000,52.3537261,4.871895
1728055802000000000,52.3537101,4.8718331
1728055803000000000,52.3536936,4.8717695
1728055804000000000,52.3536757,4.8717058
1728055805000000000,52.353656,4.871643
1728055806000000000,52.3536366,4.8715796
1728055807000000000,52.3536184,4.8715164
1728055808000000000,52.3535975,4.8714559
1728055809000000000,52.3535783,4.8713937
1728055810000000000,52.3535626,4.8713312
1728055811000000000,52.3535491,4.8712716
1728055812000000000,52.3535324,4.8712105
1728055813000000000,52.3535065,4.8711585
1728055814000000000,52.353485,4.8711006
1728055815000000000,52.3534657,4.8710391
1728055816000000000,52.3534501,4.8709727
1728055817000000000,52.3534347,4.8709065
1728055818000000000,52.3534202,4.8708396
1728055819000000000,52.3534047,4.8707735
